"","m","r","ratio","n"
"306",6,16,0.375,14.3896128743681
"307",7,16,0.4375,12.8945881601481
"308",8,16,0.5,11.773319624483
"309",9,16,0.5625,10.9012218745213
"310",10,16,0.625,10.2035436745519
"311",11,16,0.6875,9.63271605639518
"312",12,16,0.75,9.15702637459789
"313",13,16,0.8125,8.75451972076941
"314",14,16,0.875,8.40951401748786
"315",15,16,0.9375,8.11050907464385
"316",16,16,1,7.84887974965534
"317",17,16,1.0625,7.61803034525371
"318",18,16,1.125,7.41283087467448
"319",19,16,1.1875,7.22923134836676
"320",20,16,1.25,7.0639917746898
"321",1,17,0.0588235294117647,66.4846284676687
"322",2,17,0.117647058823529,35.0891094690474
"323",3,17,0.176470588235294,24.6239364695069
"324",4,17,0.235294117647059,19.3913499697367
"325",5,17,0.294117647058824,16.2517980698746
"326",6,17,0.352941176470588,14.1587634699665
"327",7,17,0.411764705882353,12.6637387557464
"328",8,17,0.470588235294118,11.5424702200814
"329",9,17,0.529411764705882,10.6703724701197
"330",10,17,0.588235294117647,9.97269427015031
"331",11,17,0.647058823529412,9.40186665199356
"332",12,17,0.705882352941177,8.92617697019626
"333",13,17,0.764705882352941,8.52367031636778
"334",14,17,0.823529411764706,8.17866461308623
"335",15,17,0.882352941176471,7.87965967024222
"336",16,17,0.941176470588235,7.61803034525371
"337",17,17,1,7.38718094085208
"338",18,17,1.05882352941176,7.18198147027286
"339",19,17,1.11764705882353,6.99838194396513
"340",20,17,1.17647058823529,6.83314237028817
"341",1,18,0.0555555555555556,66.2794289970895
"342",2,18,0.111111111111111,34.8839099984682
"343",3,18,0.166666666666667,24.4187369989277
"344",4,18,0.222222222222222,19.1861504991575
"345",5,18,0.277777777777778,16.0465985992954
"346",6,18,0.333333333333333,13.9535639993873
"347",7,18,0.388888888888889,12.4585392851672
"348",8,18,0.444444444444444,11.3372707495022
"349",9,18,0.5,10.4651729995404
"350",10,18,0.555555555555556,9.76749479957108
"351",11,18,0.611111111111111,9.19666718141433
"352",12,18,0.666666666666667,8.72097749961704
"353",13,18,0.722222222222222,8.31847084578856
"354",14,18,0.777777777777778,7.97346514250701
"355",15,18,0.833333333333333,7.67446019966299
"356",16,18,0.888888888888889,7.41283087467448
"357",17,18,0.944444444444444,7.18198147027286
"358",18,18,1,6.97678199969363
"359",19,18,1.05555555555556,6.7931824733859
"360",20,18,1.11111111111111,6.62794289970895
"361",1,19,0.0526315789473684,66.0958294707818
"362",2,19,0.105263157894737,34.7003104721604
"363",3,19,0.157894736842105,24.23513747262
"364",4,19,0.210526315789474,19.0025509728498
"365",5,19,0.263157894736842,15.8629990729876
"366",6,19,0.315789473684211,13.7699644730795
"367",7,19,0.368421052631579,12.2749397588595
"368",8,19,0.421052631578947,11.1536712231944
"369",9,19,0.473684210526316,10.2815734732327
"370",10,19,0.526315789473684,9.58389527326336
"371",11,19,0.578947368421053,9.0130676551066
"372",12,19,0.631578947368421,8.53737797330931
"373",13,19,0.684210526315789,8.13487131948083
"374",14,19,0.736842105263158,7.78986561619928
"375",15,19,0.789473684210526,7.49086067335527
"376",16,19,0.842105263157895,7.22923134836676
"377",17,19,0.894736842105263,6.99838194396513
"378",18,19,0.947368421052632,6.7931824733859
"379",19,19,1,6.60958294707818
"380",20,19,1.05263157894737,6.44434337340122
"381",1,20,0.05,65.9305898971048
"382",2,20,0.1,34.5350708984835
"383",3,20,0.15,24.069897898943
"384",4,20,0.2,18.8373113991728
"385",5,20,0.25,15.6977594993107
"386",6,20,0.3,13.6047248994026
"387",7,20,0.35,12.1097001851825
"388",8,20,0.4,10.9884316495175
"389",9,20,0.45,10.1163338995558
"390",10,20,0.5,9.4186556995864
"391",11,20,0.55,8.84782808142965
"392",12,20,0.6,8.37213839963236
"393",13,20,0.65,7.96963174580388
"394",14,20,0.7,7.62462604252233
"395",15,20,0.75,7.32562109967831
"396",16,20,0.8,7.0639917746898
"397",17,20,0.85,6.83314237028817
"398",18,20,0.9,6.62794289970895
"399",19,20,0.95,6.44434337340122
"400",20,20,1,6.27910379972427
